Instance ID,Lowest CPU Utilization,Highest CPU Utilization,Average CPU Utilization,Lowest Memory Utilization,Highest Memory Utilization,Average Memory Utilization,Lowest Disk Read BPS,Highest Disk Read BPS,Average Disk Read BPS,Lowest Disk Write BPS,Highest Disk Write BPS,Average Disk Write BPS
i-k1aa3z4b2swfssfnj0gi,11.22%,36.58%,14.99%,12.77%,21.19%,15.50%,0.07 KB,347.87 KB,65.14 KB,80.07 KB,1243.53 KB,343.54 KB
i-k1aa3z4b2swfssfnj0gh,10.21%,33.37%,13.02%,14.08%,22.08%,18.56%,0.07 KB,439.33 KB,69.12 KB,73.73 KB,1184.00 KB,374.02 KB
i-k1aa3z4b2swfssfnj0gg,22.65%,66.26%,30.73%,55.71%,66.07%,61.15%,27591.27 KB,36381.13 KB,34075.78 KB,96.40 KB,1214.87 KB,276.19 KB
i-k1aa3z4b2swfssfnj0gf,24.26%,48.13%,34.04%,42.17%,57.61%,50.43%,22883.20 KB,40614.07 KB,36466.77 KB,104.67 KB,1243.67 KB,330.85 KB
i-k1a4x5gyy1ipcbounl5x,8.02%,14.30%,8.64%,31.70%,32.77%,32.46%,0.00 KB,88.40 KB,14.19 KB,17.67 KB,532.00 KB,114.29 KB
i-k1agtfhxcbol6fwm9a2f,7.58%,38.95%,26.96%,23.60%,24.71%,24.33%,0.07 KB,335.13 KB,161.51 KB,209.27 KB,6453.73 KB,2568.58 KB
i-k1agtfhxcbol6fwm9a2g,12.60%,30.47%,14.83%,74.29%,76.49%,75.63%,1191.87 KB,5625.00 KB,3095.10 KB,239.53 KB,7314.40 KB,5313.23 KB
i-k1a0dlnyilvbst0grpfk,5.04%,42.07%,9.27%,40.42%,45.58%,43.48%,38.20 KB,1370.13 KB,201.59 KB,51.33 KB,6885.13 KB,368.55 KB
i-k1a0dlnyilvbst0grpfl,4.80%,42.95%,9.19%,39.39%,41.84%,41.15%,0.00 KB,1667.53 KB,147.83 KB,52.27 KB,6870.87 KB,366.02 KB
i-k1a0u5mz5r0nk4te8oa5,5.97%,13.10%,7.49%,78.19%,83.41%,80.25%,236.60 KB,2577.67 KB,580.86 KB,2535.27 KB,2683.73 KB,2584.95 KB
i-k1a9zuc731xxkc640mch,7.86%,11.33%,8.61%,66.15%,72.45%,70.57%,801.87 KB,997.47 KB,895.94 KB,13.53 KB,252.93 KB,109.33 KB
i-k1adjteelv4u6sje4lwh,6.25%,10.84%,7.82%,46.35%,52.87%,49.59%,454.93 KB,3189.27 KB,2696.03 KB,23.07 KB,308.13 KB,160.35 KB
i-k1adjlpkeljhjj79wbtp,null,null,null,null,null,null,null,null,null,null,null,null
i-k1adjlpkeljhjj79wbtq,null,null,null,null,null,null,null,null,null,null,null,null
i-k1a9ma0x9n0m4cx2clt1,3.85%,9.92%,4.78%,17.22%,17.81%,17.62%,27.60 KB,671.47 KB,118.46 KB,41.00 KB,891.40 KB,663.63 KB
i-k1a9ma0x9n0m4cx2clt0,4.07%,10.68%,5.07%,26.52%,27.22%,26.94%,37.67 KB,516.07 KB,137.69 KB,40.33 KB,895.87 KB,673.44 KB
i-k1ago9rjk1ufypz8xum5,6.45%,8.33%,7.46%,60.67%,62.67%,61.86%,133.60 KB,3869.20 KB,1277.89 KB,51.20 KB,883.13 KB,390.83 KB
i-k1acsrulgeq3ezsq3vy6,2.71%,51.57%,17.70%,49.16%,54.73%,50.72%,0.93 KB,17368.33 KB,966.33 KB,285.13 KB,3265.40 KB,592.39 KB
i-k1acsrulgeq3ec4cr85p,6.62%,33.35%,25.45%,22.59%,28.43%,24.86%,2790.47 KB,22422.47 KB,15147.75 KB,408.33 KB,463.27 KB,426.97 KB
i-k1acsrulgeq3ec4cr85o,6.51%,36.04%,31.06%,23.48%,29.54%,25.90%,1655.80 KB,25402.93 KB,12699.90 KB,182.73 KB,577.13 KB,541.58 KB
i-k1a1rkppfco7mi5r4r4x,7.01%,68.56%,61.87%,19.01%,19.57%,19.29%,0.00 KB,11090.13 KB,361.12 KB,53.93 KB,1104.73 KB,157.60 KB
i-k1ajbgtjf3eiw1b81g4d,33.45%,38.20%,36.65%,14.45%,35.11%,16.28%,59697.13 KB,145154.87 KB,90748.93 KB,134.33 KB,91731.20 KB,16381.21 KB
i-k1ajb4vpsn4es09egd6a,28.33%,68.04%,34.63%,24.98%,33.81%,31.77%,0.00 KB,21827.23 KB,816.69 KB,210.00 KB,6504.93 KB,3500.72 KB
i-k1abh3t9i3m8132e587n,null,null,null,null,null,null,null,null,null,null,null,null
i-k1abh3t9i3m756qel8a9,28.77%,50.06%,41.39%,48.13%,49.61%,49.33%,34890.73 KB,51184.80 KB,42882.89 KB,84.67 KB,4177.87 KB,1111.86 KB
i-k1a9qchzeenayuwz0h9z,15.51%,30.98%,26.49%,70.82%,82.71%,73.88%,53.40 KB,12574.93 KB,2199.88 KB,286.80 KB,4480.13 KB,1241.39 KB
i-k1ac1qnwlmpndgwfufcc,70.09%,99.75%,87.47%,73.66%,80.17%,75.97%,8507.68 KB,37517.07 KB,28430.84 KB,16931.01 KB,63427.66 KB,26725.09 KB
i-k1agmbf6tma419vrku5c,4.55%,81.96%,18.87%,null,null,null,0.00 KB,2652.99 KB,310.94 KB,74.53 KB,11341.47 KB,3274.12 KB
i-k1aia6x576hizj9bcc3t,6.71%,10.65%,7.63%,36.50%,37.52%,36.99%,0.07 KB,5377.13 KB,369.94 KB,51.80 KB,854.13 KB,124.84 KB
i-k1addr06h3jj7ambxrk6,7.16%,11.24%,7.78%,17.47%,18.15%,17.81%,0.00 KB,1655.53 KB,93.67 KB,76.40 KB,9718.93 KB,8714.54 KB
i-k1abi54nlczwnvzwbzbl,6.73%,9.04%,8.09%,61.42%,64.98%,63.69%,3158.33 KB,6086.13 KB,5492.76 KB,462.60 KB,8794.67 KB,8158.59 KB
i-k1a22tlzyoetab74kiwg,4.40%,6.79%,5.14%,27.85%,28.62%,28.38%,0.00 KB,0.00 KB,0.00 KB,38.60 KB,860.07 KB,199.60 KB
i-k1a7jeoviplk0t474wi5,6.04%,67.60%,64.33%,8.43%,8.80%,8.59%,0.00 KB,0.00 KB,0.00 KB,36.53 KB,786.20 KB,137.33 KB
i-k1a3peyx4pgprbqoiqun,6.41%,67.95%,64.45%,60.90%,61.35%,61.15%,0.00 KB,20.33 KB,0.94 KB,35.80 KB,857.53 KB,138.18 KB
i-k1a3peyx4pgpr7smamvt,5.79%,67.77%,62.51%,8.41%,8.86%,8.59%,0.00 KB,0.07 KB,0.00 KB,36.80 KB,786.60 KB,127.42 KB
i-k1a3peyx4pgp8yrbsb57,null,null,null,null,null,null,null,null,null,null,null,null
i-k1a0encgwjkfrxuin25u,null,null,null,null,null,null,null,null,null,null,null,null
i-k1a0encgwjkfrxuin25t,null,null,null,null,null,null,null,null,null,null,null,null
i-k1a0encgwjkfrxuin25s,null,null,null,null,null,null,null,null,null,null,null,null
i-k1a0encgwjkfqijppml3,5.76%,68.19%,65.17%,7.39%,7.69%,7.61%,0.07 KB,1012.07 KB,49.34 KB,54.53 KB,784.40 KB,140.36 KB
i-k1a0encgwjkfqijppml2,6.12%,68.09%,65.18%,9.04%,9.40%,9.18%,0.07 KB,1888.40 KB,82.53 KB,52.33 KB,793.40 KB,137.86 KB
i-k1acfsasdquq5xwf1qxk,null,null,null,null,null,null,null,null,null,null,null,null
i-k1adj9emhfoygnxajec2,2.93%,67.63%,63.53%,30.55%,30.76%,30.65%,0.00 KB,0.47 KB,0.02 KB,41.20 KB,783.67 KB,142.68 KB
i-k1aewwjzsgzzfk87dv3y,3.05%,67.64%,63.77%,8.12%,8.63%,8.39%,0.00 KB,0.00 KB,0.00 KB,41.47 KB,777.47 KB,130.23 KB
i-k1aa7hn13zifuqd33ibr,11.32%,69.44%,60.71%,91.08%,91.29%,91.18%,2601.20 KB,23831.67 KB,10279.30 KB,347.60 KB,1493.93 KB,1065.54 KB
i-k1aa7hn13zifuqd33ibq,9.15%,66.02%,58.80%,90.87%,91.12%,91.03%,4424.60 KB,12728.80 KB,9568.03 KB,339.40 KB,1484.80 KB,1091.71 KB
i-k1agbkm6v945neof1n7j,3.96%,66.55%,58.77%,12.80%,13.49%,13.39%,0.00 KB,7805.47 KB,284.24 KB,53.00 KB,861.20 KB,142.41 KB
i-k1aa7hn13zifuaku72hu,3.87%,65.78%,61.11%,12.88%,13.54%,13.42%,0.00 KB,11191.07 KB,366.02 KB,46.40 KB,786.13 KB,142.18 KB
i-k1a2guubf9yxvz646g02,2.75%,68.77%,65.74%,20.95%,22.02%,21.43%,0.00 KB,38.87 KB,1.67 KB,83.60 KB,859.53 KB,384.76 KB
i-k1ahk2fqpmwh7q4uyrod,52.53%,99.60%,84.55%,91.83%,98.51%,97.92%,6063.07 KB,98487.00 KB,52645.25 KB,270.13 KB,7821.87 KB,6464.10 KB
i-k1a46v8nti2c175tonyv,null,null,null,null,null,null,null,null,null,null,null,null
i-k1a46v8nti2c0z9p8g1z,null,null,null,null,null,null,null,null,null,null,null,null
i-k1adywb8gj5lhzqr2opr,13.43%,33.53%,23.11%,86.16%,88.06%,86.90%,1910.73 KB,45475.47 KB,13457.61 KB,714.13 KB,2169.80 KB,1428.07 KB
i-k1adywb8gj5lhxrpymqj,7.72%,75.72%,72.54%,44.92%,46.32%,45.39%,0.00 KB,1292.00 KB,45.28 KB,94.67 KB,1084.47 KB,583.60 KB
i-k1a78x430bwhcnhgravy,39.17%,72.18%,70.54%,10.57%,15.00%,13.89%,568.27 KB,30854.87 KB,12213.54 KB,591.60 KB,4590.87 KB,1739.68 KB
i-k1a78x430bwhcjjej6xf,3.21%,41.10%,38.60%,37.43%,38.26%,38.17%,0.80 KB,18.80 KB,2.14 KB,113.73 KB,2770.07 KB,1504.68 KB
i-k1agbamat0747pry4qb6,5.53%,67.37%,56.42%,10.01%,10.90%,10.59%,0.00 KB,0.13 KB,0.00 KB,47.80 KB,865.53 KB,111.09 KB
